id,bloco,aluguel,valor_m2,area,quartos,suites,vagas,link,data_descoberta
936582,SQN 315,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-315-936582,seed:links.txt
931279,SQS 210 Bloco E,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-210-bloco-e-931279,seed:links.txt
945084,SQS 109,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-109-945084,seed:links.txt
945295,SQNW 109,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-109-945295,seed:links.txt
950699,SQS 109 Bloco E,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-109-bloco-e-950699,seed:links.txt
948049,SQN 106 Bloco G,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-106-bloco-g-948049,seed:links.txt
956345,SQS 115 Bloco B,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-115-bloco-b-956345,seed:links.txt
956858,SQS 109 Bloco E,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-109-bloco-e-956858,seed:links.txt
957956,SQS 115,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-115-957956,seed:links.txt
914883,SQN 112 Bloco F,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-112-bloco-f-914883,seed:links.txt
963874,SQS 109 Bloco E,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-109-bloco-e-963874,seed:links.txt
966305,SQN 315,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-315-966305,seed:links.txt
967262,SQN 315,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-315-967262,seed:links.txt
967962,CLN 302 Bloco D,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-cln-302-bloco-d-967962,seed:links.txt
971458,SQS 105 Bloco B,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-105-bloco-b-971458,seed:links.txt
977345,SQN 315,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-315-977345,seed:links.txt
900658,SQN 111 Bloco I,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-111-bloco-i-900658,seed:links.txt
976861,SQS 303 Bloco B,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-303-bloco-b-976861,seed:links.txt
989381,SQN 304,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-304-989381,seed:links.txt
704454,SQS 303,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-303-704454,seed:links.txt
972106,SQS 307,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-307-972106,seed:links.txt
1003067,SQN 402 Bloco I,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-402-bloco-i-1003067,seed:links.txt
1006275,SQSW 500,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sudoeste-brasilia-df-sqsw-500-1006275,seed:links.txt
1010941,SQSW 500,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sudoeste-brasilia-df-sqsw-500-1010941,seed:links.txt
976687,SQS 109 Bloco C,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-109-bloco-c-976687,seed:links.txt
1012433,SQS 303,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-303-1012433,seed:links.txt
1009661,SQS 109,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-109-1009661,seed:links.txt
1018041,SQS 303 Bloco A,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-303-bloco-a-1018041,seed:links.txt
1017688,SQN 310 Bloco G,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-310-bloco-g-1017688,seed:links.txt
1026133,SQN 310,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-310-1026133,seed:links.txt
1026669,SQS 303 Bloco B,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-303-bloco-b-1026669,seed:links.txt
1027593,SQS 303 Bloco B,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-303-bloco-b-1027593,seed:links.txt
1029437,SQS 303 Bloco B,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-303-bloco-b-1029437,seed:links.txt
1010793,SQS 308 Bloco G,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-sul-brasilia-df-sqs-308-bloco-g-1010793,seed:links.txt
1024716,SQS 206 Bloco D,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-206-bloco-d-1024716,seed:links.txt
993656,SHIGS 713,,,,,,,https://www.dfimoveis.com.br/imovel/casa-3-quartos-aluguel-asa-sul-brasilia-df-shigs-713-993656,seed:links.txt
967820,SQS 203 Bloco H,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-203-bloco-h-967820,seed:links.txt
1026332,SQS 210 Bloco E,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-sul-brasilia-df-sqs-210-bloco-e-1026332,seed:links.txt
392656,SQS 302 Bloco J,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-302-bloco-j-392656,seed:links.txt
1016294,SQS 103,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-103-1016294,seed:links.txt
1025727,SQS 103,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-103-1025727,seed:links.txt
83279,SHIGS 705 Bloco C,,,,,,,https://www.dfimoveis.com.br/imovel/casa-3-quartos-aluguel-asa-sul-brasilia-df-shigs-705-bloco-c-83279,seed:links.txt
1008197,SQS 216 Bloco J,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-216-bloco-j-1008197,seed:links.txt
287692,SHIGS 713 Bloco J,,,,,,,https://www.dfimoveis.com.br/imovel/casa-3-quartos-aluguel-asa-sul-brasilia-df-shigs-713-bloco-j-287692,seed:links.txt
1017541,SHIGS 710 Bloco Q,,,,,,,https://www.dfimoveis.com.br/imovel/casa-3-quartos-aluguel-asa-sul-brasilia-df-shigs-710-bloco-q-1017541,seed:links.txt
1029489,SQS 206,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-206-1029489,seed:links.txt
727057,SQS 308 Bloco G,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-308-bloco-g-727057,seed:links.txt
1016687,SQS 309,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-sul-brasilia-df-sqs-309-1016687,seed:links.txt
484011,SQS 206 Bloco H,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-206-bloco-h-484011,seed:links.txt
1008580,SQS 314 Bloco F,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-314-bloco-f-1008580,seed:links.txt
771683,SQS 109 Bloco A,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-109-bloco-a-771683,seed:links.txt
718800,SQS 308 Bloco A,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-308-bloco-a-718800,seed:links.txt
1009614,SQS 211,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-211-1009614,seed:links.txt
1023177,SQS 115 Bloco K,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-115-bloco-k-1023177,seed:links.txt
959199,SQS 308 Bloco I,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-308-bloco-i-959199,seed:links.txt
1011713,SHIGS 713 Bloco Q,,,,,,,https://www.dfimoveis.com.br/imovel/casa-3-quartos-aluguel-asa-sul-brasilia-df-shigs-713-bloco-q-1011713,seed:links.txt
270614,SQS 102 Bloco F,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-102-bloco-f-270614,seed:links.txt
982312,SQS 307 Bloco F,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-sul-brasilia-df-sqs-307-bloco-f-982312,seed:links.txt
1009265,SQS 211,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-211-1009265,seed:links.txt
1005264,SQS 315 Bloco C,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-315-bloco-c-1005264,seed:links.txt
1018742,SQS 207 Bloco D,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-207-bloco-d-1018742,seed:links.txt
473287,SQN 315 Bloco A,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-315-bloco-a-473287,seed:links.txt
1016373,SQN 307 Bloco F,,,,,,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-307-bloco-f-1016373,seed:links.txt
